Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolate,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,strain,lab_host,sample_type,collected_by,Host_disease
SRR22385583,AMPLICON,302,314150668,PRJNA894555,SAMN31494263,Viral,103255033,UNIVERSITY OF WASHINGTON LABORATORY MEDICINE,2022,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX18355707,USA,North America,"USA: Georgia\, Atlanta",Homo sapiens,NextSeq 2000,H.O.M4.Veh,lung homogenate,P16_more_reads,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-11-22T00:00:00Z,2022-11-22T20:00:00Z,1,Hamster.Paxlovid_study_omicron.Group_1.hamster_male4.endpoint,SRP404710,hCoV-19/USA/WA-UW-21120120771/2021,Roborovski dwarf hamster,,,
SRR22385584,AMPLICON,302,272248168,PRJNA894555,SAMN31494262,Viral,89142494,UNIVERSITY OF WASHINGTON LABORATORY MEDICINE,2022,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX18355706,USA,North America,"USA: Georgia\, Atlanta",Homo sapiens,NextSeq 2000,H.O.M3.Veh,lung homogenate,P15_more_reads,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-11-22T00:00:00Z,2022-11-22T20:00:00Z,1,Hamster.Paxlovid_study_omicron.Group_1.hamster_male3.endpoint,SRP404710,hCoV-19/USA/WA-UW-21120120771/2021,Roborovski dwarf hamster,,,
SRR22385585,AMPLICON,302,78834382,PRJNA894555,SAMN31494261,Viral,26054545,UNIVERSITY OF WASHINGTON LABORATORY MEDICINE,2022,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX18355705,USA,North America,"USA: Georgia\, Atlanta",Homo sapiens,NextSeq 2000,H.O.M2.Veh,lung homogenate,P14_more_reads,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-11-22T00:00:00Z,2022-11-22T20:00:00Z,1,Hamster.Paxlovid_study_omicron.Group_1.hamster_male2.endpoint,SRP404710,hCoV-19/USA/WA-UW-21120120771/2021,Roborovski dwarf hamster,,,
SRR22385586,AMPLICON,302,19882170,PRJNA894555,SAMN31494258,Viral,6540166,UNIVERSITY OF WASHINGTON LABORATORY MEDICINE,2022,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX18355704,USA,North America,"USA: Georgia\, Atlanta",Homo sapiens,NextSeq 2000,H.D.F2.P250,lung homogenate,P11_more_reads,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-11-22T00:00:00Z,2022-11-22T20:00:00Z,1,Hamster.Paxlovid_study_delta.Group_2.hamster_female2.endpoint,SRP404710,,Roborovski dwarf hamster,,,
SRR22385587,AMPLICON,302,54840784,PRJNA894555,SAMN31494253,Viral,18230185,UNIVERSITY OF WASHINGTON LABORATORY MEDICINE,2022,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX18355703,USA,North America,"USA: Georgia\, Atlanta",Homo sapiens,NextSeq 2000,H.D.F3.Veh,lung homogenate,P06_more_reads,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-11-22T00:00:00Z,2022-11-22T20:00:00Z,1,Hamster.Paxlovid_study_delta.Group_1.hamster_female3.endpoint,SRP404710,,Roborovski dwarf hamster,,,
SRR22385588,AMPLICON,302,72856896,PRJNA894555,SAMN31490724,Viral,25559358,UNIVERSITY OF WASHINGTON LABORATORY MEDICINE,2022,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX18355702,USA,North America,"USA: Georgia\, Atlanta",Homo sapiens,NextSeq 2000,SARS2-WA-1_input,culture,input_reprep,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-11-22T00:00:00Z,2022-11-22T20:00:00Z,1,SARS2-WA-1 input,SRP404710,SARS-CoV-2/human/USA/USA-WA1/2020,ferret,,,
SRR22385589,AMPLICON,302,756420608,PRJNA894555,SAMN31463335,SARS-CoV-2: clinical or host-associated,262318802,UNIVERSITY OF WASHINGTON LABORATORY MEDICINE,2022,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX18355701,USA,North America,"USA: Georgia\, Atlanta",Homo sapiens,NextSeq 2000,F_1_1-2_D2,ferret nasal lavage,F_1_1-2_D2_reprep,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-11-22T00:00:00Z,2022-11-22T20:02:00Z,1,Ferret.Paxlovid_study_1.Group_1.Ferret_#2.Day_2,SRP404710,SARS-CoV-2/human/USA/USA-WA1/2020,ferret,,missing,missing
SRR22385590,AMPLICON,302,43644134,PRJNA894555,SAMN31494324,Viral,14934502,UNIVERSITY OF WASHINGTON LABORATORY MEDICINE,2022,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX18355700,USA,North America,"USA: Georgia\, Atlanta",Homo sapiens,NextSeq 2000,F.3.C3-2.P100,turbinate,P77_more_reads,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-11-22T00:00:00Z,2022-11-22T20:00:00Z,1,Ferret.Paxlovid_study_3.Source_Contact_3.Ferret_#2.endpoint,SRP404710,SARS-CoV-2/human/USA/USA-WA1/2020,ferret,,,
SRR22385591,AMPLICON,302,145413604,PRJNA894555,SAMN31494321,Viral,48764069,UNIVERSITY OF WASHINGTON LABORATORY MEDICINE,2022,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX18355699,USA,North America,"USA: Georgia\, Atlanta",Homo sapiens,NextSeq 2000,F.3.C2-2.P20,turbinate,P74_more_reads,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-11-22T00:00:00Z,2022-11-22T20:01:00Z,1,Ferret.Paxlovid_study_3.Source_Contact_2.Ferret_#2.endpoint,SRP404710,SARS-CoV-2/human/USA/USA-WA1/2020,ferret,,,
SRR22385592,AMPLICON,302,52225464,PRJNA894555,SAMN31494252,Viral,17328789,UNIVERSITY OF WASHINGTON LABORATORY MEDICINE,2022,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX18355698,USA,North America,"USA: Georgia\, Atlanta",Homo sapiens,NextSeq 2000,H.D.F2.Veh,lung homogenate,P05_more_reads,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-11-22T00:00:00Z,2022-11-22T20:00:00Z,1,Hamster.Paxlovid_study_delta.Group_1.hamster_female2.endpoint,SRP404710,,Roborovski dwarf hamster,,,
